L1,L2,L3,L4,R1,R2,R3,R4,R5,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
TGFB2,,,,ACVR1B,TGFBR2,,,,3,DEVCOMLR:9606:C5110A360B42,human_disease_LR000001,TGFB2,ACVR1B|TGFBR2,TGFB2>>ACVR1B|TGFBR2,receptor_complex,1,2,,1,0,0,0,0,0,0,0,0,0,0,1,0,CellChatDB;LIANA+,2,2,1,CellChatDB,LIANA+,1,CellChatDB;Cellinker,27449815,0,0,component_support,1,0,,,11157754,27449815;11157754,2,2,Legacy_native,0,,HGNC_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,component_only_support;multiple_sources;complex_interaction;dominant_complex,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,1
TGFB2,,,,ACVR1C,TGFBR2,,,,4,DEVCOMLR:9606:852FC0E4ACEA,human_disease_LR000002,TGFB2,ACVR1C|TGFBR2,TGFB2>>ACVR1C|TGFBR2,receptor_complex,1,2,,1,0,0,0,0,0,0,0,0,0,0,1,0,CellChatDB;LIANA+,2,2,1,CellChatDB,LIANA+,1,CellChatDB;Cellinker;DLRP_Cellinker;HPMR_Cellinker,8106553;11157754;12809600;27449815,0,0,component_support,1,0,,,11157754,8106553;11157754;12809600;27449815,4,4,Legacy_native,0,,HGNC_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,component_only_support;multiple_sources;complex_interaction;dominant_complex,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,1
TGFB3,,,,ACVR1B,TGFBR2,,,,5,DEVCOMLR:9606:8D69BEC05051,human_disease_LR000003,TGFB3,ACVR1B|TGFBR2,TGFB3>>ACVR1B|TGFBR2,receptor_complex,1,2,,1,0,0,0,0,0,0,0,0,0,0,1,0,CellChatDB;LIANA+,2,2,1,CellChatDB,LIANA+,1,CellChatDB;Cellinker,27449815,0,0,component_support,1,0,,,11850637;12729750,27449815;11850637;12729750,3,3,Legacy_native,0,,HGNC_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,component_only_support;multiple_sources;complex_interaction;dominant_complex,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,1
TGFB3,,,,ACVR1C,TGFBR2,,,,6,DEVCOMLR:9606:D6205699197F,human_disease_LR000004,TGFB3,ACVR1C|TGFBR2,TGFB3>>ACVR1C|TGFBR2,receptor_complex,1,2,,1,0,0,0,0,0,0,0,0,0,0,1,0,CellChatDB;LIANA+,2,2,1,CellChatDB,LIANA+,1,CellChatDB;Cellinker;DLRP_Cellinker;HPMR_Cellinker,8106553;11382746;11850637;12729750;27449815,0,0,component_support,1,0,,,11850637;12729750,8106553;11382746;11850637;12729750;27449815,5,5,Legacy_native,0,,HGNC_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,component_only_support;multiple_sources;complex_interaction;dominant_complex,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,1
BMP2,,,,BMPR1A,ACVR2A,,,,9,DEVCOMLR:9606:F7DD38DC8E0C,human_disease_LR000005,BMP2,ACVR2A|BMPR1A,BMP2>>ACVR2A|BMPR1A,receptor_complex,1,2,,1,0,1,0,0,0,0,1,0,0,0,1,0,CellChatDB;CellPhoneDB;ICELLNET;LIANA+,4,4,3,CellChatDB;CellPhoneDB;ICELLNET,LIANA+,1,CellChatDB;CellPhoneDB;ICELLNET;KEGG-MEDICUS,18436533;26893264,0,0,component_support,1,1,,,9748228;10692589;10712517;10881198;15064755;19735544;19956691;21702718,18436533;26893264;9748228;10692589;10712517;10881198;15064755;19735544;19956691;21702718,10,10,Legacy_native,0,,HGNC_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,component_only_support;multiple_sources;complex_interaction;dominant_complex,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,2
BMP2,,,,BMPR1A,ACVR2B,,,,10,DEVCOMLR:9606:0F22C5325E80,human_disease_LR000006,BMP2,ACVR2B|BMPR1A,BMP2>>ACVR2B|BMPR1A,receptor_complex,1,2,,1,0,1,0,0,0,0,1,0,0,0,1,0,CellChatDB;CellPhoneDB;ICELLNET;LIANA+,4,4,3,CellChatDB;CellPhoneDB;ICELLNET,LIANA+,1,CellChatDB;CellPhoneDB;ICELLNET;KEGG-MEDICUS,18436533;26893264,0,0,component_support,1,1,,,9748228;10692589;10712517;10881198;15064755;19735544;19956691;21702718,18436533;26893264;9748228;10692589;10712517;10881198;15064755;19735544;19956691;21702718,10,10,Legacy_native,0,,HGNC_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,component_only_support;multiple_sources;complex_interaction;dominant_complex,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,2
BMP2,,,,BMPR1A,BMPR2,,,,11,DEVCOMLR:9606:870DA411586D,human_disease_LR000007,BMP2,BMPR1A|BMPR2,BMP2>>BMPR1A|BMPR2,receptor_complex,1,2,,1,0,1,0,0,0,0,1,0,0,0,1,0,CellChatDB;CellPhoneDB;ICELLNET;LIANA+,4,4,3,CellChatDB;CellPhoneDB;ICELLNET,LIANA+,1,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET;KEGG-MEDICUS,10692589;10881198;11263668;12700180;15064755;18436533;26893264;27252362;31619522,0,0,component_support,1,1,,,7791754;9748228;10692589;10712517;10880444;10881198;15064755;19735544;19956691;21702718,10692589;10881198;11263668;12700180;15064755;18436533;26893264;27252362;31619522;7791754;9748228;10712517;10880444;19735544;19956691;21702718,16,16,Legacy_native,0,,HGNC_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,component_only_support;multiple_sources;complex_interaction;dominant_complex,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,2
BMP2,,,,BMPR1B,ACVR2A,,,,12,DEVCOMLR:9606:15257310DBAC,human_disease_LR000008,BMP2,ACVR2A|BMPR1B,BMP2>>ACVR2A|BMPR1B,receptor_complex,1,2,,1,0,1,0,0,0,0,1,0,0,0,1,0,CellChatDB;CellPhoneDB;ICELLNET;LIANA+,4,4,3,CellChatDB;CellPhoneDB;ICELLNET,LIANA+,1,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;ICELLNET;KEGG-MEDICUS,18436533;26893264;27252362,0,0,component_support,1,1,,,7811286;9748228;9872992;10712517;19735544;19956691;21702718,18436533;26893264;27252362;7811286;9748228;9872992;10712517;19735544;19956691;21702718,10,10,Legacy_native,0,,HGNC_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,component_only_support;multiple_sources;complex_interaction;dominant_complex,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,2
BMP2,,,,BMPR1B,ACVR2B,,,,13,DEVCOMLR:9606:25BD99596B24,human_disease_LR000009,BMP2,ACVR2B|BMPR1B,BMP2>>ACVR2B|BMPR1B,receptor_complex,1,2,,1,0,1,0,0,0,0,1,0,0,0,1,0,CellChatDB;CellPhoneDB;ICELLNET;LIANA+,4,4,3,CellChatDB;CellPhoneDB;ICELLNET,LIANA+,1,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;ICELLNET;KEGG-MEDICUS,15064755;18436533;26893264;27252362,0,0,component_support,1,1,,,7811286;9748228;9872992;10712517;19735544;19956691;21702718,15064755;18436533;26893264;27252362;7811286;9748228;9872992;10712517;19735544;19956691;21702718,11,11,Legacy_native,0,,HGNC_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,component_only_support;multiple_sources;complex_interaction;dominant_complex,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,2
BMP2,,,,BMPR1B,BMPR2,,,,14,DEVCOMLR:9606:FF5DB4F3238E,human_disease_LR000010,BMP2,BMPR1B|BMPR2,BMP2>>BMPR1B|BMPR2,receptor_complex,1,2,,1,0,1,0,0,0,0,1,0,0,0,1,0,CellChatDB;CellPhoneDB;ICELLNET;LIANA+,4,4,3,CellChatDB;CellPhoneDB;ICELLNET,LIANA+,1,CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;DLRP_Cellinker;HPMR_Cellinker;ICELLNET;KEGG-MEDICUS,7811286;9872992;10880444;11263668;12700180;15064755;18436533;26893264;27252362,0,0,component_support,1,1,,,7791754;7811286;9748228;9872992;10712517;10880444;19735544;19956691;21702718,7811286;9872992;10880444;11263668;12700180;15064755;18436533;26893264;27252362;7791754;9748228;10712517;19735544;19956691;21702718,15,15,Legacy_native,0,,HGNC_symbols_from_LIANA,1,legacy_plus_LIANA,0,0,component_only_support;multiple_sources;complex_interaction;dominant_complex,,1,development;disease,human_L_R_development.csv;human_L_R_disease.csv,human,Homo sapiens,9606,disease,legacy_context_member,,,0,,2
