from,to
CDK1,AAK1
MAPK1,AAK1
ATM,AATF
ADIPOQ,ABCA1
APOE,ABCA1
CALM1,ABCA1
CALM2,ABCA1
CALM3,ABCA1
CSNK2A3,ABCA1
EGFR,ABCA1
LIN7C,ABCA1
NR1H2,ABCA1
NR1H3,ABCA1
OSBPL8,ABCA1
PCYT1A,ABCA1
PRKACA,ABCA1
PRKACB,ABCA1
PRKCB,ABCA1
PRKG1,ABCA1
PRKX,ABCA1
RPS6KA3,ABCA1
RXRA,ABCA1
RXRB,ABCA1
RXRG,ABCA1
SAA1,ABCA1
SNTB2,ABCA1
SPTLC1,ABCA1
TNF,ABCA1
ESR1,ABCA3
ARNT,ABCB1
EGR1,ABCB1
VDR,ABCB1
CDK1,ABCB9
NFE2L2,ABCC3
EPAS1,ABCG2
CDK1,ABI1
EGFR,ABI1
MAPK1,ABI1
PIK3CD,ABI1
ABL1,ABI2
AKT1,ABI2
MET,ABI2
ABL1,ABI3
AGT,ABL1
BLK,ABL1
CCNA2,ABL1
CDK1,ABL1
CDK2,ABL1
CDON,ABL1
CLK1,ABL1
CLK4,ABL1
FYN,ABL1
GRB10,ABL1
GSK3B,ABL1
INSR,ABL1
LATS2,ABL1
LCK,ABL1
LRP8,ABL1
MAP2K6,ABL1
MAP3K8,ABL1
RELN,ABL1
TREX1,ABL1
TTK,ABL1
YES1,ABL1
ATM,ABLIM1
CDK1,ABLIM1
ATM,ABRAXAS1
RXRA,ACAA1
RXRA,ACADL
PPARG,ACADM
RXRA,ACADM
AKT1,ACAP1
ABL1,ACAP2
AKT1,ACAP2
AKT1,ACIN1
CASP3,ACIN1
CCL2,ACKR2
ADM,ACKR3
CD74,ACKR3
MIF,ACKR3
CCL2,ACKR4
CCL20,ACKR4
AKT1,ACLY
ATM,ACLY
CDK1,ACLY
IGF1,ACLY
IGF1R,ACLY
MAPK14,ACLY
MTOR,ACLY
AKT1,ACOT4
CREBBP,ACOX1
EP300,ACOX1
NRIP1,ACOX1
RXRA,ACOX1
RXRA,ACOX2
RXRA,ACOX3
SERPINA5,ACR
PPARG,ACSL1
PPARG,ACSL3
PPARA,ACSL4
PPARG,ACSL4
RXRB,ACSL4
RXRG,ACSL4
PPARG,ACSL5
PPARG,ACSL6
SIRT3,ACSS1
SIRT1,ACSS2
SIRT3,ACSS2
CASP3,ACTA1
EGFR,ACTA1
FLT1,ACTA1
KDR,ACTA1
VEGFA,ACTA1
PFN1,ACTB
EGFR,ACTC1
IGF1R,ACTC1
PFN1,ACTG1
RHOA,ACTG1
TGFB1,ACTN1
PTK2,ACTN3
EGF,ACTN4
MAP3K3,ACTN4
PTK2,ACTN4
RAC1,ACTN4
RIPK3,ACTN4
BMP2,ACTR2
BMP7,ACTR2
CDKN1A,ACTR2
CDKN1A,ACTR3
ATM,ACTR8
BMPR2,ACTR8
BMPR2,ACVR1
GDF2,ACVR1
INHA,ACVR1
TGFB2,ACVR1
ACTR2,ACVR1B
ACVR2A,ACVR1B
ACVR2B,ACVR1B
BMP3,ACVR1B
BMP7,ACVR1B
CFC1,ACVR1B
CFC1B,ACVR1B
GDF1,ACVR1B
GDF10,ACVR1B
GDF11,ACVR1B
GDF3,ACVR1B
GDF7,ACVR1B
GDF9,ACVR1B
INHA,ACVR1B
INHBE,ACVR1B
LEFTY1,ACVR1B
LEFTY2,ACVR1B
NODAL,ACVR1B
INHA,ACVR1C
GDF2,ACVR2A
INHA,ACVR2A
GDF2,ACVR2B
INHA,ACVR2B
BMP2,ACVRL1
BMP7,ACVRL1
GDF2,ACVRL1
INSR,ADAM12
ITGB3,ADAM12
PRKCA,ADAM12
PRKCB,ADAM12
YES1,ADAM12
ABL1,ADAM15
IGF1R,ADAM15
ADAM9,ADAM17
AXL,ADAM17
CDK2,ADAM17
DUOX1,ADAM17
EGFR,ADAM17
GSK3B,ADAM17
IRF6,ADAM17
LCK,ADAM17
MAPK14,ADAM17
NTRK1,ADAM17
NTRK2,ADAM17
PLK2,ADAM17
PRKCA,ADAM17
PRKCB,ADAM17
PRKCD,ADAM17
PRKCE,ADAM17
RPS6KA3,ADAM17
SP1,ADAM17
TIMP3,ADAM17
FURIN,ADAM19
MMP14,ADAM9
FURIN,ADAMTS1
TGFB1,ADAMTS16
TGFB1,ADAMTS4
TIMP3,ADAMTS4
AKT1,ADAR
EDN1,ADCY1
EDN1,ADCY2
EDN1,ADCY3
EDN1,ADCY4
EDN1,ADCY5
CDK1,ADCY6
EDN1,ADCY6
MAPK1,ADCY6
EDN1,ADCY7
EDN1,ADCY8
EDN1,ADCY9
ADM,ADCYAP1R1
ADM2,ADCYAP1R1
CDK1,ADD1
MAPK1,ADD1
RHOA,ADD1
MAPK1,ADD2
RPS6KA1,ADD2
HAPLN1,ADGRA2
SIGLEC12,ADGRA2
SIGLEC7,ADGRA2
SIGLEC8,ADGRA2
SIGLEC9,ADGRA2
WNT7A,ADGRA2
WNT7B,ADGRA2
SP1,ADGRE5
EDN1,ADGRL4
AKT1,ADI1
ADIPOQ,ADIPOR1
ENTPD1,ADORA1
ARNT,ADORA2A
ENTPD1,ADORA2A
EPAS1,ADORA2A
NAMPT,ADORA2A
ADO,ADORA2B
ENTPD1,ADORA2B
MYB,ADORA2B
NTN1,ADORA2B
ENTPD1,ADORA3
APLN,ADRA2A
C3,ADRA2A
CCL20,ADRA2A
CXCL16,ADRA2A
ADM,ADRB2
ADM2,ADRB2
ATM,ADRB2
EIF2AK2,ADRB2
HSPA8,ADRB2
IGF1R,ADRB2
KDR,ADRB2
ADM,ADRB3
ADM2,ADRB3
MAPK1,AEBP1
AKT1,AFDN
ATM,AFDN
