from,to
KLF5,RPS6KA1
KLF5,RYBP
KLF5,BMP7
KLF5,HOXC8
KLF5,CDKN1A
KLF5,PPP1R12A
KLF5,BNIP3
KLF5,SNAI1
AHR,PABPC3
AHR,ANKRD29
AHR,SORL1
AHR,DNMBP
AHR,WFDC1
AHR,SH3RF2
AHR,TUFT1
AHR,ABCA4
AHR,MYO3B
AHR,ATXN1
AHR,BCOR
AHR,CHST11
AHR,GPC6
AHR,TCF7L2
AHR,FANCC
AHR,PTPRJ
AHR,ST3GAL1
AHR,SLC1A2
AHR,ANO1
AHR,VPS13D
AHR,COL18A1
AHR,PITPNC1
AHR,SLC38A2
AHR,ADK
AHR,CHD2
AHR,RCC2
AHR,MPHOSPH6
AHR,MDM4
AHR,TXNRD1
AHR,TSKU
AHR,VMP1
AHR,CDKAL1
AHR,SNX29
AHR,MB21D2
AHR,TEAD1
AHR,MBP
AHR,RARA
AHR,SYK
AHR,TNS1
AHR,RAPGEF1
AHR,BCL6
AHR,ITPK1
AHR,SIPA1L3
AHR,IGSF3
AHR,FAM102A
AHR,MREG
AHR,ARHGAP21
AHR,SLC1A3
AHR,ZNF608
AHR,SRPK2
AHR,NCOA2
AHR,ZNRF1
AHR,GRM4
AHR,KSR1
AHR,CPEB4
AHR,EFEMP1
AHR,HAAO
AHR,MFSD1
AHR,ADAMTSL3
AHR,GRHL1
AHR,TSNARE1
AHR,ICOSLG
AHR,SLC44A2
AHR,FNDC3B
AHR,LRP5
AHR,BCL2
AHR,CRISPLD2
AHR,TPCN1
AHR,PHLDA1
AHR,TBC1D8
AHR,SYNJ2
AHR,TTC39A
AHR,KRT18
AHR,PTPRN2
AHR,LIN7A
AHR,SNTG1
AHR,STAU2
AHR,MED13L
AHR,PITPNM2
AHR,ASCC2
AHR,EML6
AHR,RASGRF2
AHR,LGR4
AHR,PIEZO2
AHR,EGFR
AHR,FAT2
AHR,HCRTR2
AHR,SLC3A1
AHR,CEMIP
AHR,SEMA3C
AHR,COL26A1
AHR,THRB
AHR,GNA14
AHR,MPDZ
AHR,MAPKAP1
AHR,FAM174B
AHR,NBEA
AHR,NTN4
AHR,NCKAP5
AHR,SLCO2A1
AHR,ATP9A
AHR,DHCR7
AHR,CDK15
AHR,YPEL2
AHR,DHRS2
AHR,FSIP1
AHR,NBPF1
AHR,MIAT
AHR,FBLN2
AHR,EYS
AHR,RARRES1
AHR,KCNU1
AHR,SLC1A7
AHR,FBXW8
AHR,TTLL7
AHR,CCNB1IP1
AHR,HLCS
AHR,MLPH
AHR,EVL
AHR,PAK2
AHR,HEY1
AHR,CELSR1
AHR,ZBTB38
AHR,TAMM41
AHR,LMO7
AHR,RNGTT
AHR,FGD2
AHR,FOXN4
AHR,SUSD1
AHR,TMEM45B
