L1,L2,R1,R2,R3,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
TGFB2,,ACVR1B,TGFBR2,,3,DEVCOMLR:9541:3F3CF0906527,mfascicularis_development_LR000001,TGFB2,ACVR1B|TGFBR2,TGFB2>>ACVR1B|TGFBR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,27449815,0,0,,0,0,,,,27449815,1,1,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
TGFB2,,ACVR1C,TGFBR2,,4,DEVCOMLR:9541:01561D8F7A4E,mfascicularis_development_LR000002,TGFB2,ACVR1C|TGFBR2,TGFB2>>ACVR1C|TGFBR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,8106553;11157754;12809600;27449815,0,0,,0,0,,,,8106553;11157754;12809600;27449815,4,4,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
TGFB3,,ACVR1B,TGFBR2,,5,DEVCOMLR:9541:5AB22F47595E,mfascicularis_development_LR000003,TGFB3,ACVR1B|TGFBR2,TGFB3>>ACVR1B|TGFBR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,27449815,0,0,,0,0,,,,27449815,1,1,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
TGFB3,,ACVR1C,TGFBR2,,6,DEVCOMLR:9541:2C88F6BC63E4,mfascicularis_development_LR000004,TGFB3,ACVR1C|TGFBR2,TGFB3>>ACVR1C|TGFBR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,8106553;11382746;11850637;12729750;27449815,0,0,,0,0,,,,8106553;11382746;11850637;12729750;27449815,5,5,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
BMP2,,BMPR1A,ACVR2A,,9,DEVCOMLR:9541:E9A94175B44C,mfascicularis_development_LR000005,BMP2,ACVR2A|BMPR1A,BMP2>>ACVR2A|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,18436533;26893264,0,0,,0,0,,,,18436533;26893264,2,2,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
BMP2,,BMPR1A,ACVR2B,,10,DEVCOMLR:9541:62A01A7CB396,mfascicularis_development_LR000006,BMP2,ACVR2B|BMPR1A,BMP2>>ACVR2B|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,18436533;26893264,0,0,,0,0,,,,18436533;26893264,2,2,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
BMP2,,BMPR1A,BMPR2,,11,DEVCOMLR:9541:30EFBB204C18,mfascicularis_development_LR000007,BMP2,BMPR1A|BMPR2,BMP2>>BMPR1A|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,10692589;10881198;11263668;12700180;15064755;18436533;26893264;27252362;31619522,0,0,,0,0,,,,10692589;10881198;11263668;12700180;15064755;18436533;26893264;27252362;31619522,9,9,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
BMP2,,BMPR1B,ACVR2A,,12,DEVCOMLR:9541:5B0697D00E9D,mfascicularis_development_LR000008,BMP2,ACVR2A|BMPR1B,BMP2>>ACVR2A|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,18436533;26893264;27252362,0,0,,0,0,,,,18436533;26893264;27252362,3,3,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
BMP2,,BMPR1B,ACVR2B,,13,DEVCOMLR:9541:F45427589391,mfascicularis_development_LR000009,BMP2,ACVR2B|BMPR1B,BMP2>>ACVR2B|BMPR1B,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,15064755;18436533;26893264;27252362,0,0,,0,0,,,,15064755;18436533;26893264;27252362,4,4,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
BMP2,,BMPR1B,BMPR2,,14,DEVCOMLR:9541:6F4CAEFE4CA1,mfascicularis_development_LR000010,BMP2,BMPR1B|BMPR2,BMP2>>BMPR1B|BMPR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,LIANA+,1,1,0,,LIANA+,1,nan,7811286;9872992;10880444;11263668;12700180;15064755;18436533;26893264;27252362,0,0,,0,0,,,,7811286;9872992;10880444;11263668;12700180;15064755;18436533;26893264;27252362,9,9,Legacy_native,1,Ensembl Compara/BioMart,NCBI/Ensembl_orthology_mapped,1,legacy_plus_LIANA,0,0,single_source;complex_interaction;orthology_inferred,,1,development,mfascicularis_L_R_develoment.csv,mfascicularis,Macaca fascicularis,9541,development,legacy_context_member,,,0,,0
