L1,L2,R1,R2,R3,R4,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
TGFB2,,TGFBR1,TGFBR2,,,1,DEVCOMLR:9544:2616609769BB,mmulatta_development_LR000001,TGFB2,TGFBR1|TGFBR2,TGFB2>>TGFBR1|TGFBR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,0,,,11157754,11157754,1,1,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,1
TGFB3,,TGFBR1,TGFBR2,,,2,DEVCOMLR:9544:227B974561EC,mmulatta_development_LR000002,TGFB3,TGFBR1|TGFBR2,TGFB3>>TGFBR1|TGFBR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,11850637;12729750,11850637;12729750,2,2,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
TGFB2,,ACVR1B,TGFBR2,,,3,DEVCOMLR:9544:F9D6DA1BEA8E,mmulatta_development_LR000003,TGFB2,ACVR1B|TGFBR2,TGFB2>>ACVR1B|TGFBR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,0,,,11157754,11157754,1,1,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,1
TGFB2,,ACVR1C,TGFBR2,,,4,DEVCOMLR:9544:CF735FA6029F,mmulatta_development_LR000004,TGFB2,ACVR1C|TGFBR2,TGFB2>>ACVR1C|TGFBR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,0,,,11157754,11157754,1,1,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,1
TGFB3,,ACVR1B,TGFBR2,,,5,DEVCOMLR:9544:35275351BF9B,mmulatta_development_LR000005,TGFB3,ACVR1B|TGFBR2,TGFB3>>ACVR1B|TGFBR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,0,,,11850637;12729750,11850637;12729750,2,2,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,1
TGFB3,,ACVR1C,TGFBR2,,,6,DEVCOMLR:9544:AFF8951394DE,mmulatta_development_LR000006,TGFB3,ACVR1C|TGFBR2,TGFB3>>ACVR1C|TGFBR2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,0,,,11850637;12729750,11850637;12729750,2,2,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,1
TGFB2,,ACVR1,TGFBR1,,,7,DEVCOMLR:9544:E0BD7CBCE8A3,mmulatta_development_LR000007,TGFB2,ACVR1|TGFBR1,TGFB2>>ACVR1|TGFBR1,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,0,,,21102460,21102460,1,1,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,1
TGFB3,,ACVR1,TGFBR1,,,8,DEVCOMLR:9544:FBD80D276051,mmulatta_development_LR000008,TGFB3,ACVR1|TGFBR1,TGFB3>>ACVR1|TGFBR1,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,11850637;29376829,11850637;29376829,2,2,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
BMP2,,BMPR1A,ACVR2A,,,9,DEVCOMLR:9544:410384554C2A,mmulatta_development_LR000009,BMP2,ACVR2A|BMPR1A,BMP2>>ACVR2A|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,9748228;10692589;10712517;10881198;15064755;19735544;19956691;21702718,9748228;10692589;10712517;10881198;15064755;19735544;19956691;21702718,8,8,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
BMP2,,BMPR1A,ACVR2B,,,10,DEVCOMLR:9544:930412D5D835,mmulatta_development_LR000010,BMP2,ACVR2B|BMPR1A,BMP2>>ACVR2B|BMPR1A,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,9748228;10692589;10712517;10881198;15064755;19735544;19956691;21702718,9748228;10692589;10712517;10881198;15064755;19735544;19956691;21702718,8,8,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mmulatta_L_R_develoment.csv,mmulatta,Macaca mulatta,9544,development,legacy_context_member,,,0,,2
