L1,R1,R2
C3,C3AR1,
C3,CR2,
C3,ITGAM,ITGB2
C3,ITGAX,ITGB2
F2,F2R,
F2,F2RL1,
F2,F2RL2,
F2,F2RL3,
F2,PARD3,
F10,ITGAM,ITGB2
F2,GP1BA,GP1BB
F2,ITGA2B,ITGB3
F2,ITGAV,ITGB3
F2,THBD,
a,MC1R,
AGT,Agtr1a,
Ccl2,ACKR2,
Ccl2,CCR2,
Ccl2,CCR3,
Ccl21a,ACKR4,
Ccl21a,CCR7,
Cxcl1,CXCR2,
Cxcl1,DPP4,
Cxcl2,CXCR2,
C3,HcAR2,
C4b,HcAR2,
Hc,HcAR1,
Hc,HcAR2,
Fgf15,FGFR4,KLB
Ins2,INSR,
Ifna12,IFNAR1,IFNAR2
IL13,IL13RA1,Il4ra
Il1f8,IL1RAP,IL1RL2
Hsd3b6,CATSPER1,CATSPERB
Hsd3b6,CATSPER1,CATSPERD
Hsd3b6,CATSPER2,CATSPERB
Hsd3b6,CATSPER2,CATSPERD
Hsd3b6,CATSPER3,CATSPERB
Hsd3b6,CATSPER3,CATSPERD
Hsd3b6,CATSPER4,CATSPERB
Hsd3b6,CATSPER4,CATSPERD
Fasl,FAS,
CD248,Il6ra,
Flt3l,FLT3,
Ftl1,SCARA5,
Kitl,KIT,
Ren1,ATP6AP2,
Saa2,FPR2,
Wnt3,Fzd6,
Wnt3,Egfr,
Wnt3,Fzd2,
Wnt3,Lrp5,
Wnt3,Fzd1,
Wnt3,Fzd3,
Wnt3,Fzd8,
Wnt3,Ror1,
Wnt3,Lrp6,
Wnt3,Ror2,
Wnt3,Fzd5,
Wnt3,Fzd7,
Wnt9a,Egfr,
Wnt9a,Fzd9,
Wnt9a,Fzd4,
Wnt9a,Fzd7,
Fgf23,Fgfr1,
Fgf23,Fgfr4,
Fgf23,Fgfr2,
Fgf23,Fgfr3,
Fgf23,Kl,
Fgf6,Fgfr1,
Fgf6,Fgfr4,
Fgf6,Fgfr2,
Fgf6,Fgfr3,
Ccl2,Ccr4,
Ccl2,Ccr2,
Ccl2,Ackr1,
Ccl2,Ackr2,
Ccl12,Ccr2,
Cdh1,Itgb7,
Cdh1,Egfr,
Cdh1,Fgfr1,
Cdh1,Ptprj,
Cdh1,Itgae,
Cdh1,Ptprm,
Cdh1,Igf1r,
Cdh1,Klrg1,
Ccl11,Ccr2,
Ccl11,Ccr5,
Ccl11,Ackr2,
Pdgfb,Lrp1,
Pdgfb,Pdgfra,
Pdgfb,Pdgfrb,
Fasl,Fas,
Il4,Il13ra2,
Ccl3,Ccr1,
Ccl3,Ccr5,
Ccl3,Ackr2,
Ccl3,Ccr3,
Icam4,Itgav,
Icam4,Itgam,
S100a4,Egfr,
S100a4,Erbb2,
Icam2,Itgam,
Efnb2,Ephb2,
Efnb2,Epha3,
Efnb2,Epha4,
Efnb2,Ephb3,
Efnb2,Epha7,
Efnb2,Ephb4,
Efnb2,Epha6,
Efnb2,Ephb6,
Efnb2,Ephb1,
Sost,Lrp6,
Sost,Lrp5,
Col1a1,Itgb1,
Col1a1,Cd44,
Col1a1,Cd93,
Il16,Grin2c,
Il16,Kcnj4,
Il16,Grin2d,
Il16,Kcna3,
Il16,Kcnd2,
Il16,Kcnj15,
Il16,Kcnd1,
Il16,Cd4,
Il16,Kcnj10,
Angptl4,Gpihbp1,
Bmp8b,Acvr2b,
Bmp8b,Bmpr1b,
Bmp8b,Acvr2a,
Bmp8b,Tgfbr2,
Bmp8b,Bmpr2,
Bmp8b,Bmpr1a,
Tgfb1,Eng,
Tgfb1,Tgfbr3,
Tgfb1,Itgb8,
Shh,Cdon,
Shh,Pvr,
Shh,Ptch1,
Shh,Lrp2,
Shh,Hhip,
Shh,Gpc1,
Shh,Gpc6,
Shh,Cav1,
Shh,Gas1,
Shh,Ptch2,
Pspn,Gfra4,
Pspn,Ret,
Lamb1,Itga6,
Lamb1,Itgb1,
Efna2,Epha4,
Efna2,Epha8,
Efna2,Epha1,
Efna2,Epha2,
Efna2,Epha5,
Ebi3,Il6st,
Ebi3,Il27ra,
Comp,Itgav,
Comp,Notch1,
Comp,Notch3,
Comp,Cd47,
Comp,Itga7,
Comp,Cd36,
Tgfb3,Acvr1,
Tgfb3,Tgfbr1,
Tgfb3,Eng,
