L1,L2,L3,R1,R2,R3,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
C3,,,C3AR1,,,1,DEVCOMLR:10090:702456A18619,mouse_development_LR000001,C3,C3AR1,C3>>C3AR1,simple,1,1,C3>>C3AR1,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,11342658;20527893,11342658;20527893,11342658;20527893,2,2,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
C3,,,CR2,,,2,DEVCOMLR:10090:84C5048479D3,mouse_development_LR000002,C3,CR2,C3>>CR2,simple,1,1,C3>>CR2,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,19164292;30566277,19164292;30566277,19164292;30566277,2,2,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
C3,,,ITGAM,ITGB2,,3,DEVCOMLR:10090:0D76E7AFD17A,mouse_development_LR000003,C3,ITGAM|ITGB2,C3>>ITGAM|ITGB2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,4062888,4062888,1,1,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,2
C3,,,ITGAX,ITGB2,,4,DEVCOMLR:10090:A3B5D83BF6C3,mouse_development_LR000004,C3,ITGAX|ITGB2,C3>>ITGAX|ITGB2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,4062888,4062888,1,1,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,2
F2,,,F2R,,,5,DEVCOMLR:10090:591C17FFFB9B,mouse_development_LR000005,F2,F2R,F2>>F2R,simple,1,1,F2>>F2R,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,10978167,10978167,10978167,1,1,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
F2,,,F2RL1,,,6,DEVCOMLR:10090:7709174E98BB,mouse_development_LR000006,F2,F2RL1,F2>>F2RL1,simple,1,1,F2>>F2RL1,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,10978167,10978167,10978167,1,1,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
F2,,,F2RL2,,,7,DEVCOMLR:10090:7251479C138D,mouse_development_LR000007,F2,F2RL2,F2>>F2RL2,simple,1,1,F2>>F2RL2,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,12732212,12732212,12732212,1,1,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
F2,,,F2RL3,,,8,DEVCOMLR:10090:9526236819AD,mouse_development_LR000008,F2,F2RL3,F2>>F2RL3,simple,1,1,F2>>F2RL3,0,0,0,0,0,0,0,0,0,0,0,1,1,LIANA+;connectomeDB2025,2,2,1,,LIANA+;connectomeDB2025,1,,,1,1,exact_simplex,0,0,Inferred,12732212,12732212,12732212,1,1,Legacy_native,0,,MGI_species_specific_table;MGI_symbols_from_LIANA,1,legacy_plus_both,0,0,multiple_sources;orthology_inferred,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,Inferred,Inferred,0,,0
F2,,,PARD3,,,9,DEVCOMLR:10090:3C9D3319FF71,mouse_development_LR000009,F2,PARD3,F2>>PARD3,simple,1,1,F2>>PARD3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,0
F10,,,ITGAM,ITGB2,,10,DEVCOMLR:10090:78D623E3E563,mouse_development_LR000010,F10,ITGAM|ITGB2,F10>>ITGAM|ITGB2,receptor_complex,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,component_support,1,1,,,2835359,2835359,1,1,Legacy_native,0,,,1,unresolved_legacy,0,0,component_only_support;unresolved_provenance;complex_interaction;dominant_complex,,1,development,mouse_L_R_development.csv,mouse,Mus musculus,10090,development,legacy_context_member,,,0,,2
