from,to
Acta2,Gm20716
Acta2,Dpm1
Amot,Gm20716
Amot,Dpm1
Hspa5,Gm20716
Hspa5,Dpm1
Hif1a,Gm20716
Hif1a,Dpm1
Dnmt1,Gm20716
Dnmt1,Dpm1
Hyou1,Gm20716
Hyou1,Dpm1
Tbr1,Gm20716
Tbr1,Dpm1
Egln1,Gm20716
Egln1,Dpm1
Atp6ap2,Scyl3
Ephb4,Scyl3
Lrp8,Scyl3
Ednrb,BC055324
Agtr1a,BC055324
Hsd11b2,Fgr
Cd4,Fgr
Ascl2,Fuca2
Hspa5,Fuca2
Nfe2l2,Gclc
Egr1,Gclc
Nos3,Gclc
Edn1,Gclc
Hmox1,Gclc
Hif1a,Nfya
Slc16a3,Nfya
Edn1,Nfya
Mus81,Las1l
Dnmt1,Las1l
Krt7,Las1l
Prkaa1,Cftr
Grn,Cftr
Adam17,Cftr
Mtor,Cftr
Krt8,Cftr
Hspa5,Cftr
Cspg4,Cftr
Ldha,Cftr
Ascl2,Cftr
Cd4,Cftr
Nfe2l2,Cftr
Krt7,Cftr
Slc16a1,Cftr
Timp1,Cftr
Ppp2ca,Cftr
Serpinh1,Cftr
Ptma,Cftr
Hyou1,Cftr
Atp6ap2,Cyp51
Cyp11a1,Cyp51
Cyp17a1,Cyp51
Cyp11b1,Cyp51
Lrp8,Cyp51
Ephb4,Cyp51
Nos1,Krit1
Timp1,Bad
Ppp2ca,Bad
Mtor,Bad
Vegfa,Bad
Bak1,Bad
Pdk1,Bad
Cspg4,Bad
Lrp8,Bad
Igf1,Bad
Edn1,Hs3st1
Vegfa,1600015I10Rik
Vegfa,Aoc1
Vegfa,Svs1
Vegfa,Doxl2
Sod1,Hecw1
Ppp2ca,Mad1l1
Atf4,Mad1l1
Slc2a1,Lasp1
Dnmt1,Lasp1
Ldha,Lasp1
Kit,Lasp1
Lgals1,Lasp1
Hyou1,Lasp1
Serpinh1,Lasp1
Acta2,Lasp1
Krt7,Lasp1
Grn,M6pr
Cd4,M6pr
Cyp11a1,Cyp26b1
Hmox1,Cyp26b1
Cyp11b1,Cyp26b1
Cyp17a1,Cyp26b1
Bak1,Gm9845
Bak1,Cflar
Adam17,Gm9845
Adam17,Cflar
Pdk1,Ndufaf7
Irx5,Slc7a2
Nfatc1,Slc7a2
Hif1a,Arf5
Ldha,Arf5
Atp6ap2,Arf5
Ttr,Arf5
Amh,Arf5
Cd274,Arf5
Hyou1,Arf5
Aplnr,Arf5
Hspa5,Arf5
Hyou1,Sarm1
Vegfa,Sarm1
Serpinh1,Poldip2
Pdk1,Poldip2
Cul1,Ak2
Sod1,Ak2
Hspa5,Ak2
Acta2,Ak2
Krt7,Ak2
Ldha,Ak2
Cd34,Cd38
Tlr4,Cd38
Ldha,Cd38
Sirt1,Fkbp4
Amot,Fkbp4
Egln1,Fkbp4
Dnmt1,Fkbp4
Mtor,Fkbp4
Hif1a,Fkbp4
Hyou1,Fkbp4
Cul1,Fkbp4
Hspa5,Fkbp4
Tbr1,Fkbp4
Krt7,Kdm1a
Nfe2l2,Kdm1a
Id2,Kdm1a
Epas1,Kdm1a
Hspa5,Kdm1a
Kdm6b,Kdm1a
Adh5,Kdm1a
Cd274,Rbm6
Atp6ap2,Rbm6
Nos1,Camkk1
Nfatc1,Recql
Nfe2l2,Recql
Pdk1,Pdk4
Hmox1,Pdk4
Ttr,Slc25a13
Cst3,Slc25a13
Cts7,Slc25a13
Ctsq,Slc25a13
Cts8,Slc25a13
Cd274,Slc25a13
Atp6ap2,St7
Kdm6b,St7
Ppp2ca,Cdc27
Acta2,Cdc27
Ttr,Cdc27
Prkaa1,Cdc27
Bak1,Cdc27
Bmp10,Slc4a1
Aqp1,Slc4a1
Slc2a1,Slc4a1
Adm,Calcr
Ascl2,Calcr
Vegfa,Calcr
Prkaa1,Dvl2
Hspa5,Dvl2
Egr1,Dvl2
Sirt1,Dvl2
Dcaf13,Dvl2
Vangl2,Dvl2
Amot,Dvl2
Serpine1,Prss22
Igf1,Prss22
Lin28a,Upf1
Mtor,Upf1
Cul1,Upf1
Hspa5,Upf1
Ctsq,Upf1
Acta2,Upf1
Egln1,Upf1
Cts7,Upf1
Cts8,Upf1
Hyou1,Upf1
Eif2a,Upf1
Tbr1,Upf1
Ppp2ca,Upf1
Lgals1,Upf1
Dnmt1,Upf1
Amot,Upf1
Cspg4,Upf1
Ttr,Upf1
Hspa5,Slc25a5
Acta2,Slc25a5
Prkaa1,Slc25a5
Cul1,Slc25a5
Sod1,Slc25a5
Ppp2ca,Slc25a5
Cyp11a1,Slc25a5
Ascl2,Slc25a5
Ptma,Slc25a5
Aplnr,Ccdc109b
Rbfox2,Polr2j
Ppp2ca,Polr2j
Grn,Dhx33
Hspa5,Dhx33
Nlrp3,Dhx33
Mus81,Dhx33
Mest,Meox1
Slc16a1,Thsd7a
Hspa5,Lig3
Ldha,Lig3
Pycard,Lig3
Nfatc1,Lig3
Hyou1,Rpap3
Cul1,Rpap3
Egln1,Rpap3
Serpinh1,Ciapin1
Nfe2l2,Copz2
Ascl2,Copz2
Acta2,Prkar2b
Hspa5,Prkar2b
Ppp2ca,Prkar2b
Pdk1,Prkar2b
Sod1,Prkar2b
Nfe2l2,Crebbp
Atf4,Crebbp
Sirt1,Crebbp
Prl2c2,Crebbp
Hif1a,Crebbp
Ptma,Crebbp
Prl3d1,Crebbp
Igf1,Crebbp
Prl3b1,Crebbp
Prl2c5,Crebbp
Acta2,Crebbp
Egr1,Crebbp
Epas1,Crebbp
Sox9,Crebbp
Nfatc1,Crebbp
Prl8a2,Crebbp
Pdk1,Crebbp
Prl7b1,Crebbp
Flt1,Crebbp
Hey2,Crebbp
Hmgb1,Crebbp
Ppp2ca,Crebbp
Cyp11a1,Crebbp
Inha,Crebbp
Slc2a1,Crebbp
Rbfox2,Crebbp
Hsd17b1,Crebbp
Hmox1,Crebbp
Nfe2l2,Mpo
Nkx2-5,Mpo
Hmox1,Mpo
Cd4,Mpo
Cd74,Mpo
Cyp11a1,Mpo
Star,Mpo
Ttr,Mpo
Adam17,Mpo
Hspa5,Mpo
Adm,Mpo
Sod1,Mpo
Ptma,Mpo
Pcdh12,Mpo
Col1a1,Mpo
Cd4,Pon1
Cst3,Pon1
Mtor,Gcfc2
Ttr,Crot
Cts8,Crot
Cts7,Crot
