from,to
Nfe2l2,Tspan6
Nfatc1,Tspan6
Sox9,Tspan6
Erg,Tspan6
Hif1a,Tspan6
Lin28a,Tnmd
Egr1,Tnmd
Atf4,Dpm1
Atf4,Gm20716
Egr1,Dpm1
Egr1,Gm20716
Nfe2l2,Dpm1
Nfe2l2,Gm20716
Dnmt1,Dpm1
Dnmt1,Gm20716
Nkx2-5,Scyl3
Sox9,Scyl3
Nfe2l2,Scyl3
Nfatc1,Scyl3
Egr1,Scyl3
Atf4,Scyl3
Ascl2,BC055324
Epas1,BC055324
Hif1a,BC055324
Nfe2l2,BC055324
Nfatc1,Fgr
Lin28a,Fgr
Sox9,Fgr
Kdm6b,Fgr
Cd74,Fgr
Egr1,Fgr
Sirt1,Gm4788
Sirt1,Cfhr2
Sirt1,Cfhr3
Sirt1,Cfh
Sirt1,Cfhr1
Rbfox2,Gm4788
Rbfox2,Cfhr2
Rbfox2,Cfhr3
Rbfox2,Cfh
Rbfox2,Cfhr1
Vegfa,Gm4788
Vegfa,Cfhr2
Vegfa,Cfhr3
Vegfa,Cfh
Vegfa,Cfhr1
Egr1,Gm4788
Egr1,Cfhr2
Egr1,Cfhr3
Egr1,Cfh
Egr1,Cfhr1
Nfe2l2,Gm4788
Nfe2l2,Cfhr2
Nfe2l2,Cfhr3
Nfe2l2,Cfh
Nfe2l2,Cfhr1
Hif1a,Gm4788
Hif1a,Cfhr2
Hif1a,Cfhr3
Hif1a,Cfh
Hif1a,Cfhr1
Nkx2-5,Gm4788
Nkx2-5,Cfhr2
Nkx2-5,Cfhr3
Nkx2-5,Cfh
Nkx2-5,Cfhr1
Nfatc1,Fuca2
Egr1,Fuca2
Hif1a,Fuca2
Erg,Fuca2
Nfe2l2,Gclc
Nfatc1,Gclc
Sirt1,Gclc
Igf1,Gclc
Egr1,Gclc
Hif1a,Gclc
Nkx2-5,Gclc
Nfatc1,Nfya
Egr1,Nfya
Erg,Nfya
Sox9,Nfya
Hif1a,Nfya
Nfe2l2,Nfya
Nkx2-5,Stpg1
Egr1,Stpg1
Sox9,Stpg1
Ascl2,Stpg1
Flt1,Nipal3
Sox9,Nipal3
Hmgb1,Nipal3
Nkx2-5,Nipal3
Krt7,Nipal3
Egr1,Nipal3
Epas1,Nipal3
Egr1,Las1l
Nfatc1,Las1l
Vegfa,Enpp4
Hif1a,Enpp4
Epas1,Enpp4
Erg,Enpp4
Hif1a,Sema3f
Hey2,Sema3f
Egr1,Sema3f
Adm,Sema3f
Hmgb1,Sema3f
Cnr1,Cftr
Hmox1,Cftr
Nfe2l2,Cftr
Igf1,Cftr
Sox9,Cftr
Egr1,Ankib1
Nfe2l2,Ankib1
Vegfa,Cyp51
Atf4,Cyp51
Epas1,Cyp51
Egr1,Cyp51
Nfatc1,Cyp51
Mtor,Cyp51
Egr1,Krit1
Erg,Krit1
Nfatc1,Rad52
Hif1a,Rad52
Egr1,Rad52
Egr1,Bad
Hif1a,Bad
Rbfox2,Bad
Sox9,Bad
Igf1,Bad
Nfatc1,Bad
Lgals1,Bad
Il11,Bad
Hmgb1,Lap3
Egr1,Lap3
Nfatc1,Lap3
Atf4,Lap3
Erg,Lap3
Il11,Lap3
Hif1a,Lap3
Cd274,Lap3
Vegfa,Hs3st1
Hif1a,Hs3st1
Sirt1,Hs3st1
Egr1,Hs3st1
Hif1a,Wnt16
Egr1,Wnt16
Adm,Hecw1
Hif1a,Hecw1
Hif1a,Mad1l1
Nfatc1,Mad1l1
Egr1,Mad1l1
Epas1,Mad1l1
Nfe2l2,Mad1l1
Atf4,Mad1l1
Pdk1,Mad1l1
Sox9,Lasp1
Egr1,Lasp1
Nfe2l2,Lasp1
Cd74,Lasp1
Nfatc1,Lasp1
Erg,Lasp1
Epas1,Lasp1
Epas1,Snx11
Pcdh12,Snx11
Egr1,Snx11
Nkx2-5,Snx11
Hif1a,Snx11
Nfatc1,Tmem176a
Sox9,Tmem176a
Adm,Tmem176a
Pcdh12,Tmem176a
Nfatc1,M6pr
Erg,M6pr
Hif1a,M6pr
Igf1,M6pr
Kit,M6pr
Egr1,M6pr
Sox9,Klhl13
Adm,Klhl13
Egr1,Klhl13
Hif1a,Klhl13
Erg,Cyp26b1
Sox9,Cyp26b1
Egr1,Cyp26b1
Pcdh12,Cyp26b1
Hif1a,Cyp26b1
Atf4,Ica1
Hmgb1,Ica1
Egr1,Ica1
Hey2,Ica1
Erg,Ica1
Nfatc1,Ica1
Hmgb1,Dbndd1
Egr1,Dbndd1
Sox9,Dbndd1
Nfe2l2,Dbndd1
Pcdh12,Dbndd1
Cnr1,Dbndd1
Igf1,Dbndd1
Atf4,Als2
Nfe2l2,Als2
Egr1,Als2
Slc2a1,Cflar
Slc2a1,Gm9845
Nfatc1,Cflar
Nfatc1,Gm9845
Vegfa,Cflar
Vegfa,Gm9845
Egr1,Cflar
Egr1,Gm9845
