L1,R1,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
Wnt3,Egfr,1,DEVCOMLR:10116:EDDAB83ADDE3,rat_development_LR000001,WNT3,EGFR,WNT3>>EGFR,simple,1,1,WNT3>>EGFR,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
Wnt3,Fzd2,2,DEVCOMLR:10116:B56716AF8CE1,rat_development_LR000002,WNT3,FZD2,WNT3>>FZD2,simple,1,1,WNT3>>FZD2,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,28733458,28733458,28733458,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Wnt3,Lrp5,3,DEVCOMLR:10116:FA60AA90B4AF,rat_development_LR000003,WNT3,LRP5,WNT3>>LRP5,simple,1,1,WNT3>>LRP5,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,33236989,33236989,33236989,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Wnt3,Fzd1,4,DEVCOMLR:10116:07C5BE2C4DE7,rat_development_LR000004,WNT3,FZD1,WNT3>>FZD1,simple,1,1,WNT3>>FZD1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,10557084;28733458,10557084;28733458,10557084;28733458,2,2,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Wnt3,Fzd3,5,DEVCOMLR:10116:086218783947,rat_development_LR000005,WNT3,FZD3,WNT3>>FZD3,simple,1,1,WNT3>>FZD3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
Wnt3,Lrp6,6,DEVCOMLR:10116:3B706A261482,rat_development_LR000006,WNT3,LRP6,WNT3>>LRP6,simple,1,1,WNT3>>LRP6,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,18528331;20713706;33545636,18528331;20713706;33545636,18528331;20713706;33545636,3,3,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Wnt3,Fzd5,7,DEVCOMLR:10116:FC793BFA2282,rat_development_LR000007,WNT3,FZD5,WNT3>>FZD5,simple,1,1,WNT3>>FZD5,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,28733458,28733458,28733458,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Wnt9a,Egfr,8,DEVCOMLR:10116:6C3D764C0424,rat_development_LR000008,WNT9A,EGFR,WNT9A>>EGFR,simple,1,1,WNT9A>>EGFR,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,31110287,31110287,31110287,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Wnt9a,Fzd4,9,DEVCOMLR:10116:C05D749D12FE,rat_development_LR000009,WNT9A,FZD4,WNT9A>>FZD4,simple,1,1,WNT9A>>FZD4,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,28733458,28733458,28733458,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Ccl2,Ccr4,10,DEVCOMLR:10116:6C0F7BA430DC,rat_development_LR000010,CCL2,CCR4,CCL2>>CCR4,simple,1,1,CCL2>>CCR4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
Ccl2,Ackr2,11,DEVCOMLR:10116:F3EDA5EEA800,rat_development_LR000011,CCL2,ACKR2,CCL2>>ACKR2,simple,1,1,CCL2>>ACKR2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
Cdh1,Egfr,12,DEVCOMLR:10116:695660C376E5,rat_development_LR000012,CDH1,EGFR,CDH1>>EGFR,simple,1,1,CDH1>>EGFR,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
Cdh1,Ptprj,13,DEVCOMLR:10116:03873CB48533,rat_development_LR000013,CDH1,PTPRJ,CDH1>>PTPRJ,simple,1,1,CDH1>>PTPRJ,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,28926625,28926625,28926625,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Cdh1,Igf1r,14,DEVCOMLR:10116:FC6A163A5248,rat_development_LR000014,CDH1,IGF1R,CDH1>>IGF1R,simple,1,1,CDH1>>IGF1R,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
Efnb2,Ephb2,15,DEVCOMLR:10116:E87A285F89BE,rat_development_LR000015,EFNB2,EPHB2,EFNB2>>EPHB2,simple,1,1,EFNB2>>EPHB2,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,11780069;18713744;22568954,11780069;18713744;22568954,11780069;18713744;22568954,3,3,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Efnb2,Ephb3,16,DEVCOMLR:10116:208237A7E198,rat_development_LR000016,EFNB2,EPHB3,EFNB2>>EPHB3,simple,1,1,EFNB2>>EPHB3,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,22568954,22568954,22568954,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Efnb2,Epha7,17,DEVCOMLR:10116:A720E95E0FEC,rat_development_LR000017,EFNB2,EPHA7,EFNB2>>EPHA7,simple,1,1,EFNB2>>EPHA7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,,0,0,,0,0,,,,,0,0,Legacy_native,0,,,1,unresolved_legacy,0,0,unresolved_provenance,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,,,0,,0
Efnb2,Ephb1,18,DEVCOMLR:10116:3790A434CAE4,rat_development_LR000018,EFNB2,EPHB1,EFNB2>>EPHB1,simple,1,1,EFNB2>>EPHB1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,8559144;15777695;22568954,8559144;15777695;22568954,8559144;15777695;22568954,3,3,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Sost,Lrp6,19,DEVCOMLR:10116:0FAA8FA45197,rat_development_LR000019,SOST,LRP6,SOST>>LRP6,simple,1,1,SOST>>LRP6,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,15778503,15778503,15778503,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Sost,Lrp5,20,DEVCOMLR:10116:CA78B238C960,rat_development_LR000020,SOST,LRP5,SOST>>LRP5,simple,1,1,SOST>>LRP5,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,15778503,15778503,15778503,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Col1a1,Itgb1,21,DEVCOMLR:10116:7B7C1A706FCA,rat_development_LR000021,COL1A1,ITGB1,COL1A1>>ITGB1,simple,1,1,COL1A1>>ITGB1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,10464311;31987794,10464311;31987794,10464311;31987794,2,2,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Col1a1,Cd44,22,DEVCOMLR:10116:BE451ACCCA33,rat_development_LR000022,COL1A1,CD44,COL1A1>>CD44,simple,1,1,COL1A1>>CD44,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,1730778,1730778,1730778,1,1,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Tgfb1,Tgfbr3,23,DEVCOMLR:10116:3EE543A31BFD,rat_development_LR000023,TGFB1,TGFBR3,TGFB1>>TGFBR3,simple,1,1,TGFB1>>TGFBR3,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,11382746;19842711,11382746;19842711,11382746;19842711,2,2,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
Shh,Cdon,24,DEVCOMLR:10116:88029FC86AAC,rat_development_LR000024,SHH,CDON,SHH>>CDON,simple,1,1,SHH>>CDON,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,16647304;17086203;20519495,16647304;17086203;20519495,16647304;17086203;20519495,3,3,Legacy_native,0,,RGD/NCBI_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,rat_L_R_develoment.csv,rat,Rattus norvegicus,10116,development,legacy_context_member,Inferred,Inferred,0,,0
