L1,R1,R2,original_row_index,old_LR_ID,new_LR_ID,ligand_complex_key,receptor_complex_key,LR_complex_key,interaction_class,ligand_component_count,receptor_component_count,LR_simplex_key,src_CellChatDB,src_NicheNet,src_CellPhoneDB,src_CellTalkDB,src_CITEdb,src_connectomeDB2020,src_exFINDER,src_ICELLNET,src_NATMI,src_STRING,src_SingleCellSignalR,src_LIANA_plus,src_connectomeDB2025,source_databases,source_database_count,resource_membership_count,primary_source_count,legacy_sources,update_sources,LIANA_consensus_member,LIANA_underlying_sources,LIANA_references,ConnectomeDB2025_member,ConnectomeDB2025_exact_support,ConnectomeDB2025_match_type,ConnectomeDB2025_component_support,ConnectomeDB2025_component_support_complete,ConnectomeDB2025_evidence,ConnectomeDB2025_PMIDs,ConnectomeDB2025_component_PMIDs,unique_PMIDs,PMID_count,experimental_evidence_count,species_support_type,orthology_inferred,orthology_source,gene_symbol_mapping_status,is_valid_LR,provenance_status,previously_removed_invalid_source,rescued_by_valid_source,quality_flags,related_complex_id,legacy_member,legacy_contexts,legacy_files,species,species_scientific_name,taxid,context,context_assignment,ConnectomeDB2025_evidence_all,ConnectomeDB2025_evidence_best,n_exact_duplicates_merged,merged_from_row_indices,n_contained_interactions_removed_under_this_LR
WNT5A,FZD8,,1,DEVCOMLR:9940:F4FFCCE79A91,sheep_development_LR000001,WNT5A,FZD8,WNT5A>>FZD8,simple,1,1,WNT5A>>FZD8,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,20093360;25605717,20093360;25605717,20093360;25605717,2,2,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
WNT5B,FZD8,,2,DEVCOMLR:9940:112398129645,sheep_development_LR000002,WNT5B,FZD8,WNT5B>>FZD8,simple,1,1,WNT5B>>FZD8,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,20093360;25605717;26849959,20093360;25605717;26849959,20093360;25605717;26849959,3,3,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
WNT11,FZD8,,3,DEVCOMLR:9940:8F0CACC1AEC1,sheep_development_LR000003,WNT11,FZD8,WNT11>>FZD8,simple,1,1,WNT11>>FZD8,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,29717114,29717114,29717114,1,1,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
FGF1,FGFR1,,4,DEVCOMLR:9940:AD0033BBE942,sheep_development_LR000004,FGF1,FGFR1,FGF1>>FGFR1,simple,1,1,FGF1>>FGFR1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,8663044;8756477;10336501;11032250;16597617;22442730;24509440,8663044;8756477;10336501;11032250;16597617;22442730;24509440,8663044;8756477;10336501;11032250;16597617;22442730;24509440,7,7,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
FGF1,FGFR4,,5,DEVCOMLR:9940:50F1F4F4FA49,sheep_development_LR000005,FGF1,FGFR4,FGF1>>FGFR4,simple,1,1,FGF1>>FGFR4,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,8663044;10336501;10736564;16597617;22442730,8663044;10336501;10736564;16597617;22442730,8663044;10336501;10736564;16597617;22442730,5,5,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
FGF2,FGFR4,,6,DEVCOMLR:9940:0770959ADBF0,sheep_development_LR000006,FGF2,FGFR4,FGF2>>FGFR4,simple,1,1,FGF2>>FGFR4,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,8530375;10950949,8530375;10950949,8530375;10950949,2,2,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
FGF4,FGFR1,,7,DEVCOMLR:9940:77105D7E9490,sheep_development_LR000007,FGF4,FGFR1,FGF4>>FGFR1,simple,1,1,FGF4>>FGFR1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,11486033,11486033,11486033,1,1,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
FGF4,FGFR4,,8,DEVCOMLR:9940:213D4A424848,sheep_development_LR000008,FGF4,FGFR4,FGF4>>FGFR4,simple,1,1,FGF4>>FGFR4,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,8663044,8663044,8663044,1,1,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
FGF5,FGFR1,,9,DEVCOMLR:9940:7C719C956921,sheep_development_LR000009,FGF5,FGFR1,FGF5>>FGFR1,simple,1,1,FGF5>>FGFR1,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,8386828;8663044,8386828;8663044,8386828;8663044,2,2,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
FGF5,FGFR4,,10,DEVCOMLR:9940:F3D5FA93BCD5,sheep_development_LR000010,FGF5,FGFR4,FGF5>>FGFR4,simple,1,1,FGF5>>FGFR4,0,0,0,0,0,0,0,0,0,0,0,0,1,connectomeDB2025,1,1,1,,connectomeDB2025,0,,,1,1,exact_simplex,0,0,Inferred,8663044,8663044,8663044,1,1,Legacy_native,0,,VGNC/NCBI/Ensembl_species_specific_table,1,legacy_plus_connectomeDB2025,0,0,single_source;orthology_inferred,,1,development,sheep_L-R-develoment.csv,sheep,Ovis aries,9940,development,legacy_context_member,Inferred,Inferred,0,,0
